"-------------------------------------------------------------------------------------------"
" Monthly average CO2 concentrations (ppm) derived from flask air samples                   "
" Kermadec Is.                                                                              "
"                                                                                           "
" Source: R. F. Keeling and S. J. Walker                                                    "
" Scripps CO2 Program ( http://scrippsco2.ucsd.edu )                                        "
" Scripps Institution of Oceanography (SIO)                                                 "
" University of California                                                                  "
" La Jolla, California USA 92093-0244                                                       "
"                                                                                           "
" Status of data and correspondence:                                                        "
"                                                                                           "
" These data are subject to revision based on recalibration of standard gases. Questions    "
" about the data should be directed to Dr. Ralph Keeling (rkeeling AT ucsd.edu) and         "
" Dr. Stephen Walker (sjwalker AT ucsd.edu), Scripps CO2 Program.                           "
"                                                                                           "
" Flask data from archive dated 21-Feb-2025 08:57:33                                        "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" Please cite as:                                                                           "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Exchanges of atmospheric CO2 and 13CO2 with the terrestrial biosphere and   "
" oceans from 1978 to 2000.  I. Global aspects, SIO Reference Series, No. 01-06, Scripps    "
" Institution of Oceanography, San Diego, 88 pages, 2001.                                   "
"                                                                                           "
" If it is necessary to cite a peer-reviewed article, please cite as:                       "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Atmospheric CO2 and 13CO2 exchange with the terrestrial biosphere and       "
" oceans from 1978 to 2000: observations and carbon cycle implications, pages 83-113,       "
" in "A History of Atmospheric CO2 and its effects on Plants, Animals, and Ecosystems",     "
" editors, Ehleringer, J.R., T. E. Cerling, M. D. Dearing, Springer Verlag,                 "
" New York, 2005.                                                                           "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant "
" formats. Column 5 below gives monthly CO2 concentrations in micro-mol CO2 per mole (ppm)  "
" reported on the 2012 SIO manometric mole fraction scale.  This is the standard           "
" version of the data most often sought.  The monthly values have been adjusted             "
" to 24:00 hours on the 15th of each month.  Column 6 gives the same data after a seasonal  "
" adjustment to remove the quasi-regular seasonal cycle.  The adjustment involves           "
" subtracting from the data a 4-harmonic fit with a linear gain factor.  Column 7 is a      "
" smoothed version of the data generated from a stiff cubic spline function plus 4-harmonic "
" functions with linear gain.  Column 8 is the same smoothed version with the seasonal      "
" cycle removed.  Column 9 is identical to Column 5 except that the missing values from     "
" Column 5 have been filled with values from Column 7.  Column 10 is identical to Column 6  "
" except missing values have been filled with values from Column 8.  Missing values are     "
" denoted by -99.99                                                                         "
"                                                                                           "
" CO2 concentrations are reported on the Scripps '12' Calibration scale                     "
"                                                                                           "
  Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
    ,   ,        ,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
    ,   ,   Excel,          ,     ppm,      ppm,        ppm,      ppm,       ppm,      ppm
1982, 01,   29966, 1982.0411,      NaN,      NaN,     338.65,   338.16,     338.65,   338.16
1982, 02,   29997, 1982.1260,      NaN,      NaN,     338.73,   338.35,     338.73,   338.35
1982, 03,   30025, 1982.2027,      NaN,      NaN,     338.62,   338.52,     338.62,   338.52
1982, 04,   30056, 1982.2877,      NaN,      NaN,     338.50,   338.71,     338.50,   338.71
1982, 05,   30086, 1982.3699,      NaN,      NaN,     338.56,   338.89,     338.56,   338.89
1982, 06,   30117, 1982.4548,      NaN,      NaN,     338.80,   339.09,     338.80,   339.09
1982, 07,   30147, 1982.5370,      NaN,      NaN,     339.08,   339.27,     339.08,   339.27
1982, 08,   30178, 1982.6219,      NaN,      NaN,     339.31,   339.46,     339.31,   339.46
1982, 09,   30209, 1982.7068,      NaN,      NaN,     339.49,   339.65,     339.49,   339.65
1982, 10,   30239, 1982.7890,      NaN,      NaN,     339.73,   339.84,     339.73,   339.84
1982, 11,   30270, 1982.8740,      NaN,      NaN,     340.13,   340.03,     340.13,   340.03
1982, 12,   30300, 1982.9562,   340.32,   339.96,     340.57,   340.21,     340.32,   339.96
1983, 01,   30331, 1983.0411,      NaN,      NaN,     340.91,   340.40,     340.91,   340.40
1983, 02,   30362, 1983.1260,      NaN,      NaN,     340.98,   340.59,     340.98,   340.59
1983, 03,   30390, 1983.2027,      NaN,      NaN,     340.86,   340.76,     340.86,   340.76
1983, 04,   30421, 1983.2877,   341.09,   341.30,     340.73,   340.94,     341.09,   341.30
1983, 05,   30451, 1983.3699,   341.24,   341.58,     340.76,   341.10,     341.24,   341.58
1983, 06,   30482, 1983.4548,      NaN,      NaN,     340.97,   341.26,     340.97,   341.26
1983, 07,   30512, 1983.5370,   341.58,   341.77,     341.22,   341.41,     341.58,   341.77
1983, 08,   30543, 1983.6219,      NaN,      NaN,     341.40,   341.55,     341.40,   341.55
1983, 09,   30574, 1983.7068,      NaN,      NaN,     341.52,   341.69,     341.52,   341.69
1983, 10,   30604, 1983.7890,   341.68,   341.79,     341.70,   341.81,     341.68,   341.79
1983, 11,   30635, 1983.8740,   342.25,   342.14,     342.04,   341.94,     342.25,   342.14
1983, 12,   30665, 1983.9562,   342.11,   341.74,     342.42,   342.05,     342.11,   341.74
1984, 01,   30696, 1984.0410,      NaN,      NaN,     342.68,   342.17,     342.68,   342.17
1984, 02,   30727, 1984.1257,      NaN,      NaN,     342.67,   342.28,     342.67,   342.28
