"-------------------------------------------------------------------------------------------"
" Monthly average CO2 concentrations (ppm) derived from flask air samples                   "
" Cape Kumukahi, Hawaii.                                                                    "
"                                                                                           "
" Source: R. F. Keeling and S. J. Walker                                                    "
" Scripps CO2 Program ( http://scrippsco2.ucsd.edu )                                        "
" Scripps Institution of Oceanography (SIO)                                                 "
" University of California                                                                  "
" La Jolla, California USA 92093-0244                                                       "
"                                                                                           "
" Status of data and correspondence:                                                        "
"                                                                                           "
" These data are subject to revision based on recalibration of standard gases. Questions    "
" about the data should be directed to Dr. Ralph Keeling (rkeeling AT ucsd.edu) and         "
" Dr. Stephen Walker (sjwalker AT ucsd.edu), Scripps CO2 Program.                           "
"                                                                                           "
" Flask data from archive dated 21-Feb-2025 08:57:33                                        "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" Please cite as:                                                                           "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Exchanges of atmospheric CO2 and 13CO2 with the terrestrial biosphere and   "
" oceans from 1978 to 2000.  I. Global aspects, SIO Reference Series, No. 01-06, Scripps    "
" Institution of Oceanography, San Diego, 88 pages, 2001.                                   "
"                                                                                           "
" If it is necessary to cite a peer-reviewed article, please cite as:                       "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Atmospheric CO2 and 13CO2 exchange with the terrestrial biosphere and       "
" oceans from 1978 to 2000: observations and carbon cycle implications, pages 83-113,       "
" in "A History of Atmospheric CO2 and its effects on Plants, Animals, and Ecosystems",     "
" editors, Ehleringer, J.R., T. E. Cerling, M. D. Dearing, Springer Verlag,                 "
" New York, 2005.                                                                           "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant "
" formats. Column 5 below gives monthly CO2 concentrations in micro-mol CO2 per mole (ppm)  "
" reported on the 2012 SIO manometric mole fraction scale.  This is the standard           "
" version of the data most often sought.  The monthly values have been adjusted             "
" to 24:00 hours on the 15th of each month.  Column 6 gives the same data after a seasonal  "
" adjustment to remove the quasi-regular seasonal cycle.  The adjustment involves           "
" subtracting from the data a 4-harmonic fit with a linear gain factor.  Column 7 is a      "
" smoothed version of the data generated from a stiff cubic spline function plus 4-harmonic "
" functions with linear gain.  Column 8 is the same smoothed version with the seasonal      "
" cycle removed.  Column 9 is identical to Column 5 except that the missing values from     "
" Column 5 have been filled with values from Column 7.  Column 10 is identical to Column 6  "
" except missing values have been filled with values from Column 8.  Missing values are     "
" denoted by -99.99                                                                         "
"                                                                                           "
" CO2 concentrations are reported on the Scripps '12' Calibration scale                     "
"                                                                                           "
  Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
    ,   ,        ,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
    ,   ,   Excel,          ,     ppm,      ppm,        ppm,      ppm,       ppm,      ppm
1979, 01,   28870, 1979.0411,      NaN,      NaN,     338.01,   337.26,     338.01,   337.26
1979, 02,   28901, 1979.1260,      NaN,      NaN,     339.07,   337.40,     339.07,   337.40
1979, 03,   28929, 1979.2027,   338.97,   336.75,     339.73,   337.51,     338.97,   336.75
1979, 04,   28960, 1979.2877,   339.75,   336.76,     340.63,   337.64,     339.75,   336.76
1979, 05,   28990, 1979.3699,   343.52,   339.99,     341.30,   337.77,     343.52,   339.99
1979, 06,   29021, 1979.4548,   340.01,   337.79,     340.12,   337.90,     340.01,   337.79
1979, 07,   29051, 1979.5370,      NaN,      NaN,     337.37,   338.01,     337.37,   338.01
1979, 08,   29082, 1979.6219,   336.71,   340.09,     334.75,   338.13,     336.71,   340.09
1979, 09,   29113, 1979.7068,   333.67,   338.05,     333.87,   338.25,     333.67,   338.05
1979, 10,   29143, 1979.7890,   334.70,   337.97,     335.08,   338.35,     334.70,   337.97
1979, 11,   29174, 1979.8740,      NaN,      NaN,     337.09,   338.46,     337.09,   338.46
1979, 12,   29204, 1979.9562,   337.94,   338.13,     338.37,   338.56,     337.94,   338.13
1980, 01,   29235, 1980.0410,      NaN,      NaN,     339.41,   338.66,     339.41,   338.66
1980, 02,   29266, 1980.1257,   340.67,   338.99,     340.45,   338.76,     340.67,   338.99
1980, 03,   29295, 1980.2049,   340.68,   338.44,     341.10,   338.86,     340.68,   338.44
1980, 04,   29326, 1980.2896,   342.64,   339.62,     341.98,   338.96,     342.64,   339.62
1980, 05,   29356, 1980.3716,   343.31,   339.77,     342.60,   339.06,     343.31,   339.77
1980, 06,   29387, 1980.4563,   341.56,   339.37,     341.35,   339.16,     341.56,   339.37
1980, 07,   29417, 1980.5383,   337.72,   338.42,     338.56,   339.26,     337.72,   338.42
1980, 08,   29448, 1980.6230,   336.64,   340.06,     335.94,   339.37,     336.64,   340.06
1980, 09,   29479, 1980.7077,   335.12,   339.51,     335.08,   339.47,     335.12,   339.51
1980, 10,   29509, 1980.7896,   336.31,   339.58,     336.30,   339.57,     336.31,   339.58
1980, 11,   29540, 1980.8743,   339.00,   340.37,     338.30,   339.67,     339.00,   340.37
1980, 12,   29570, 1980.9563,   339.08,   339.27,     339.57,   339.76,     339.08,   339.27
1981, 01,   29601, 1981.0411,   341.07,   340.32,     340.61,   339.86,     341.07,   340.32
1981, 02,   29632, 1981.1260,   341.03,   339.34,     341.65,   339.95,     341.03,   339.34
