"-------------------------------------------------------------------------------------------"
" Monthly average CO2 concentrations (ppm) derived from flask air samples                   "
" New Zealand                                                                               "
"                                                                                           "
" Source: R. F. Keeling and S. J. Walker                                                    "
" Scripps CO2 Program ( http://scrippsco2.ucsd.edu )                                        "
" Scripps Institution of Oceanography (SIO)                                                 "
" University of California                                                                  "
" La Jolla, California USA 92093-0244                                                       "
"                                                                                           "
" Status of data and correspondence:                                                        "
"                                                                                           "
" These data are subject to revision based on recalibration of standard gases. Questions    "
" about the data should be directed to Dr. Ralph Keeling (rkeeling AT ucsd.edu) and         "
" Dr. Stephen Walker (sjwalker AT ucsd.edu), Scripps CO2 Program.                           "
"                                                                                           "
" Flask data from archive dated 21-Feb-2025 08:57:33                                        "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" Please cite as:                                                                           "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Exchanges of atmospheric CO2 and 13CO2 with the terrestrial biosphere and   "
" oceans from 1978 to 2000.  I. Global aspects, SIO Reference Series, No. 01-06, Scripps    "
" Institution of Oceanography, San Diego, 88 pages, 2001.                                   "
"                                                                                           "
" If it is necessary to cite a peer-reviewed article, please cite as:                       "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Atmospheric CO2 and 13CO2 exchange with the terrestrial biosphere and       "
" oceans from 1978 to 2000: observations and carbon cycle implications, pages 83-113,       "
" in "A History of Atmospheric CO2 and its effects on Plants, Animals, and Ecosystems",     "
" editors, Ehleringer, J.R., T. E. Cerling, M. D. Dearing, Springer Verlag,                 "
" New York, 2005.                                                                           "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant "
" formats. Column 5 below gives monthly CO2 concentrations in micro-mol CO2 per mole (ppm)  "
" reported on the 2012 SIO manometric mole fraction scale.  This is the standard           "
" version of the data most often sought.  The monthly values have been adjusted             "
" to 24:00 hours on the 15th of each month.  Column 6 gives the same data after a seasonal  "
" adjustment to remove the quasi-regular seasonal cycle.  The adjustment involves           "
" subtracting from the data a 4-harmonic fit with a linear gain factor.  Column 7 is a      "
" smoothed version of the data generated from a stiff cubic spline function plus 4-harmonic "
" functions with linear gain.  Column 8 is the same smoothed version with the seasonal      "
" cycle removed.  Column 9 is identical to Column 5 except that the missing values from     "
" Column 5 have been filled with values from Column 7.  Column 10 is identical to Column 6  "
" except missing values have been filled with values from Column 8.  Missing values are     "
" denoted by -99.99                                                                         "
"                                                                                           "
" CO2 concentrations are reported on the Scripps '12' Calibration scale                     "
"                                                                                           "
  Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
    ,   ,        ,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
    ,   ,   Excel,          ,     ppm,      ppm,        ppm,      ppm,       ppm,      ppm
1977, 01,   28140, 1977.0411,      NaN,      NaN,     330.83,   331.19,     330.83,   331.19
1977, 02,   28171, 1977.1260,      NaN,      NaN,     330.95,   331.37,     330.95,   331.37
1977, 03,   28199, 1977.2027,      NaN,      NaN,     331.27,   331.53,     331.27,   331.53
1977, 04,   28230, 1977.2877,      NaN,      NaN,     331.49,   331.71,     331.49,   331.71
1977, 05,   28260, 1977.3699,      NaN,      NaN,     331.80,   331.89,     331.80,   331.89
1977, 06,   28291, 1977.4548,      NaN,      NaN,     332.28,   332.07,     332.28,   332.07
1977, 07,   28321, 1977.5370,   332.74,   332.33,     332.66,   332.25,     332.74,   332.33
1977, 08,   28352, 1977.6219,      NaN,      NaN,     332.98,   332.43,     332.98,   332.43
1977, 09,   28383, 1977.7068,   332.53,   332.14,     333.01,   332.61,     332.53,   332.14
1977, 10,   28413, 1977.7890,   332.34,   332.34,     332.79,   332.79,     332.34,   332.34
1977, 11,   28444, 1977.8740,   333.79,   333.91,     332.85,   332.97,     333.79,   333.91
1977, 12,   28474, 1977.9562,   333.33,   333.44,     333.02,   333.13,     333.33,   333.44
1978, 01,   28505, 1978.0411,   333.50,   333.86,     332.93,   333.30,     333.50,   333.86
1978, 02,   28536, 1978.1260,   333.28,   333.70,     333.03,   333.45,     333.28,   333.70
1978, 03,   28564, 1978.2027,   332.90,   333.17,     333.31,   333.58,     332.90,   333.17
1978, 04,   28595, 1978.2877,      NaN,      NaN,     333.50,   333.72,     333.50,   333.72
1978, 05,   28625, 1978.3699,   333.24,   333.33,     333.76,   333.85,     333.24,   333.33
1978, 06,   28656, 1978.4548,   333.80,   333.59,     334.20,   333.99,     333.80,   333.59
1978, 07,   28686, 1978.5370,   334.92,   334.51,     334.55,   334.13,     334.92,   334.51
1978, 08,   28717, 1978.6219,   334.13,   333.58,     334.81,   334.26,     334.13,   333.58
1978, 09,   28748, 1978.7068,   335.73,   335.33,     334.80,   334.40,     335.73,   335.33
1978, 10,   28778, 1978.7890,      NaN,      NaN,     334.52,   334.52,     334.52,   334.52
1978, 11,   28809, 1978.8740,   334.45,   334.56,     334.53,   334.65,     334.45,   334.56
1978, 12,   28839, 1978.9562,      NaN,      NaN,     334.65,   334.77,     334.65,   334.77
1979, 01,   28870, 1979.0411,   333.57,   333.93,     334.52,   334.88,     333.57,   333.93
1979, 02,   28901, 1979.1260,   335.22,   335.64,     334.57,   335.00,     335.22,   335.64
